Total Business Value,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,Quarterly Rating,Target
8688020,84,42,1,7,1,25950,1,1,2,1
0,85,25,1,14,2,49509,1,1,1,0
0,86,35,1,11,2,49510,1,1,1,1
36029220,87,37,1,25,0,119341,3,3,4,0
3248870,88,45,0,22,1,62298,2,2,1,1
6131430,89,28,1,11,0,58977,2,2,1,1
543640,90,33,1,14,1,29408,2,2,1,1
200000,91,31,1,13,1,22731,2,2,1,1
1220120,93,30,1,8,2,39527,2,2,2,1
0,95,29,0,5,2,60874,3,3,1,1
0,96,35,1,3,2,64953,3,3,1,1
350000,97,40,0,11,2,80771,3,3,1,0
21415440,98,25,1,7,1,63774,2,3,2,1
0,99,30,1,15,1,38068,2,2,1,1
1759840,101,33,1,1,1,38945,1,1,1,1
0,102,22,0,3,1,42270,1,1,1,1
544380,103,26,0,20,0,68913,2,2,1,1
1252320,104,30,0,15,0,60332,2,2,2,0
0,105,38,1,23,1,67931,1,1,1,1
4504880,106,34,0,14,1,57671,1,3,2,1
4545450,107,35,1,28,2,102142,3,3,1,1
864350,108,38,1,14,2,121259,3,3,1,1
1927920,109,36,0,25,1,33927,1,1,2,0
251810,110,32,0,7,0,32663,1,1,1,1
2167840,111,52,1,4,0,73769,2,3,1,1
13121470,112,46,1,21,0,50466,1,1,3,0
670440,113,42,0,1,1,47160,1,1,1,1
0,114,32,0,10,1,89456,3,3,1,0
12674940,115,46,1,0,0,31752,1,3,2,0
1116990,116,22,1,2,1,16477,1,1,1,1
40152720,117,47,0,0,0,144978,1,5,2,0
150700,118,42,0,19,1,67904,3,3,1,1
557720,119,32,0,21,0,71000,3,3,1,1
0,120,27,1,5,2,114258,3,3,1,1
0,121,33,0,4,2,58885,3,3,1,1
605760,122,27,1,18,1,57406,2,2,2,0
2184160,123,44,1,16,0,41401,1,1,1,1
1221780,125,33,0,1,2,30847,1,1,1,1
-70000,127,33,1,20,0,84085,3,3,1,1
436190,129,38,0,25,0,60708,2,2,1,0
2928710,130,38,1,20,0,39990,2,2,1,1
2620360,131,38,0,10,0,79086,2,3,1,1
0,132,27,1,12,2,43165,2,2,1,1
873110,133,44,0,15,2,46858,1,1,1,1
190550,134,32,1,19,1,76904,3,3,1,0
1517680,135,28,1,14,1,98877,3,3,2,0
0,136,37,0,1,1,47009,1,1,1,1
6570070,137,42,1,20,1,33459,2,2,4,0
0,138,48,1,13,2,34827,1,1,1,1
0,139,32,1,5,0,51850,2,2,1,1
13939940,140,38,1,28,0,72253,1,2,3,0
0,141,35,1,14,0,65901,2,2,1,1
122040,142,24,1,7,0,29807,1,1,1,1
340560,143,40,1,3,2,24150,1,1,1,1
0,144,27,1,20,2,21933,1,1,1,1
1847280,145,35,1,4,0,75112,3,3,3,1
0,147,36,1,28,0,85172,2,2,1,1
0,148,41,1,6,1,45288,2,2,1,0
0,149,34,0,12,1,61913,3,3,1,1
24273480,150,39,1,8,1,29013,1,3,3,0
950170,151,30,1,6,1,89602,4,4,1,1
1419720,152,31,1,8,1,31547,1,2,2,1
1472800,153,38,0,14,0,148588,5,5,1,1
0,154,30,1,13,0,47211,1,1,1,1
1602380,155,27,1,18,0,118363,2,3,2,1
0,156,41,0,28,0,41046,1,1,1,1
0,158,26,1,14,0,45832,1,1,1,1
6278140,159,44,0,23,0,30121,1,1,1,1
0,161,38,1,17,2,35793,1,1,1,1
0,162,36,1,11,0,100064,3,3,1,1
0,163,29,1,25,1,25731,1,1,1,1
10395250,164,37,0,18,1,106171,1,4,1,1
0,165,25,0,13,2,76307,2,2,1,1
1154620,167,26,1,9,0,35283,1,1,1,1
12087570,168,26,1,6,2,33057,2,2,3,0
5239360,169,34,1,5,2,38409,2,2,1,1
1987680,170,35,1,26,2,91458,3,3,1,1
3466180,171,44,0,15,0,56242,2,2,1,1
5365850,172,41,0,25,2,101395,2,3,1,1
19866290,173,39,1,20,1,56174,1,3,3,0
2970500,174,39,0,13,0,22065,1,1,1,1
19580,175,31,1,4,1,27889,1,1,1,1
0,176,34,1,6,1,21276,1,1,1,1
600000,177,31,1,23,0,43053,1,1,1,1
550000,178,23,0,26,1,36637,2,2,1,1
1616780,179,26,0,2,2,24490,1,1,1,1
0,180,34,1,21,0,95694,2,4,1,1
0,181,30,0,8,2,26926,3,3,1,0
866320,182,32,1,14,2,25832,1,1,1,1
903800,183,26,0,15,2,43263,1,1,1,1
903160,184,34,0,13,2,62199,2,2,1,1
2416570,185,29,1,0,1,82120,1,3,1,1
151600,187,34,1,18,0,20922,2,2,1,1
2516690,188,34,1,3,1,36483,2,2,1,0
121980,190,36,0,0,1,108051,4,4,1,1
10666090,191,27,0,2,2,63380,3,3,3,0
2412240,192,37,0,28,0,66952,3,3,1,0
9983020,193,47,1,18,2,59084,1,2,1,1
2000000,194,30,1,27,1,54074,2,2,1,1
0,195,27,1,9,1,19419,1,1,1,1
1150720,196,44,1,5,0,75001,3,3,2,1
1985150,197,41,1,17,0,94594,2,3,1,1
31533700,199,30,1,5,1,87902,1,3,4,0
0,200,46,1,27,0,66707,3,3,1,1
0,201,38,0,24,1,42260,3,3,1,1
593300,202,33,1,20,1,28921,1,1,2,0
2816440,203,34,0,23,2,84713,3,3,1,1
337230,204,31,0,5,1,68151,1,2,1,1
0,205,39,1,3,1,15826,1,1,1,0
0,206,26,0,1,1,12968,1,1,1,0
3209720,207,32,1,21,1,61894,3,3,1,1
376780,208,31,1,7,2,31657,1,1,1,1
802540,210,38,1,21,2,64583,3,3,1,0
0,211,34,0,25,2,81730,3,3,1,1
12182590,213,37,1,16,1,59947,2,2,1,0
1742410,215,26,0,6,0,17307,1,1,1,1
7020890,216,30,1,12,0,86340,2,2,1,1
5854230,217,32,1,1,0,27328,1,2,1,1
734620,218,25,1,13,1,27979,1,1,2,0
2805350,219,36,1,24,1,51657,2,2,1,1
2784450,220,38,0,9,0,107539,2,3,1,1
0,221,31,1,22,1,13051,1,1,1,1
0,222,26,1,11,1,92753,3,3,1,1
1559910,223,25,1,12,1,59108,2,2,1,1
2242270,225,32,0,5,1,44792,3,3,3,0
1172300,226,36,0,9,0,55528,2,2,1,1
7237950,227,45,0,21,2,61912,3,3,1,1
10390120,228,45,1,25,2,53385,1,1,1,1
11947410,229,43,1,20,1,104995,4,4,2,1
5824480,230,34,1,17,1,44359,2,2,1,1
0,231,32,1,24,0,21354,1,1,1,1
0,232,34,1,6,2,23185,1,1,1,1
500000,233,36,0,19,0,139139,3,3,1,0
2800740,234,27,0,15,0,52616,2,2,2,0
0,235,39,0,7,1,37873,1,1,1,1
181070,237,33,1,1,1,75626,3,3,1,0
495310,238,32,1,12,1,40168,2,2,1,1
0,241,24,1,0,1,33901,1,1,1,1
0,242,28,1,13,1,11236,1,1,1,1
483150,243,26,1,23,2,60228,3,3,1,0
3095340,244,40,1,12,2,37346,1,2,1,1
0,245,38,1,15,2,77903,2,2,1,1
2278190,246,42,1,1,0,64128,1,2,1,1
619900,247,39,0,23,1,27294,2,2,1,1
28348090,252,37,1,16,2,81700,1,3,4,0
0,256,21,1,1,1,25172,1,1,1,1
150230,257,30,1,21,0,31655,3,3,1,1
2658050,258,29,1,4,1,25459,1,1,2,0
0,260,29,1,16,0,47864,1,1,1,1
7912770,261,42,0,12,2,90988,3,3,1,1
1200020,262,28,0,11,0,24862,2,2,1,1
289500,263,24,1,25,1,19170,1,1,1,0
0,264,25,1,2,2,49439,1,1,1,1
1706780,265,34,1,22,0,40381,1,1,2,0
2558650,266,43,1,7,0,40102,1,2,1,1
3643890,267,36,1,24,1,89200,3,3,2,1
4024340,268,31,0,25,0,54352,1,1,1,1
260000,270,36,1,2,0,76336,3,3,1,1
19169110,271,38,1,21,2,134529,4,4,3,0
8992830,272,37,1,24,0,64901,2,2,3,0
461970,273,29,1,7,0,40259,1,1,1,0
0,274,39,1,26,0,53224,2,2,1,0
33697790,275,41,1,12,1,97226,1,4,3,0
965680,276,30,0,15,0,107495,3,3,2,0
529010,278,34,1,11,1,52191,1,1,1,1
2736130,279,29,0,11,1,41800,1,1,1,1
6751230,280,34,0,25,2,108013,4,4,1,1
246810,281,43,0,12,0,78607,3,3,1,0
0,282,29,0,13,1,57339,2,2,1,1
0,283,27,0,21,2,57420,2,2,1,0
0,284,34,1,12,2,42189,2,2,1,1
150400,286,30,0,16,0,70781,2,2,1,1
0,287,30,0,26,1,13605,1,1,1,1
0,288,41,0,8,1,62901,2,2,1,0
0,289,29,1,22,1,51110,2,2,1,0
0,290,25,0,24,0,66842,1,1,1,1
1273240,291,27,0,12,2,49695,2,2,1,1
0,292,33,0,21,2,81858,3,3,1,1
373410,293,28,0,2,0,45981,1,1,1,1
153360,294,36,1,13,1,13793,1,1,1,0
225690,295,29,0,27,1,35983,2,2,1,1
29901450,296,32,0,12,0,65094,1,2,4,0
0,297,38,1,27,2,109473,3,3,1,0
1501770,298,39,1,12,1,70753,3,3,1,1
0,299,36,0,20,1,25851,1,1,1,1
0,303,42,1,20,0,78645,1,2,1,1
0,305,24,1,28,1,20176,1,1,1,1
0,306,31,0,23,1,53025,2,2,1,0
56839380,307,39,1,18,1,88207,2,4,1,1
58024490,308,32,1,24,2,188418,2,5,2,0
0,309,30,0,24,0,77597,3,3,1,0
0,310,27,0,22,2,58439,1,1,1,0
0,312,34,1,7,1,26047,2,2,1,1
150050,313,31,0,6,1,96603,3,3,1,1
0,315,29,0,28,2,50281,3,3,1,1
250000,316,47,1,3,2,42592,1,1,1,1
5195840,317,35,1,24,0,59936,2,2,1,1
0,318,33,0,22,0,37890,1,1,1,1
0,319,30,1,19,2,51819,3,3,1,1
30153680,320,28,0,12,1,63126,1,2,4,0
242500,321,27,0,17,0,29869,1,1,1,1
400000,322,41,0,25,1,57245,2,2,1,1
3159800,323,30,0,21,2,64558,2,2,2,0
4600000,324,31,1,18,0,69160,3,3,3,0
109020,325,26,1,6,2,50739,1,1,1,1
194000,326,24,1,20,2,69454,2,2,1,1
841620,327,38,1,22,0,26658,1,1,1,1
200000,328,35,0,20,0,54816,3,3,1,1
14717150,329,44,0,2,0,133752,1,3,2,0
0,330,39,0,6,0,35694,1,1,1,1
0,331,35,1,17,2,71154,3,3,1,0
134360,332,29,1,16,2,51152,1,1,1,1
1296960,333,44,0,25,0,45796,1,1,1,1
323290,334,29,0,28,1,58812,2,2,1,1
0,335,41,0,2,2,94685,3,3,1,0
9577580,336,47,1,1,2,140769,2,4,1,1
0,337,45,0,27,2,62135,2,2,1,1
1827320,339,32,1,8,0,55937,3,3,1,1
544560,340,36,1,7,1,33327,1,1,1,1
3946480,341,40,1,2,0,49592,2,2,2,0
11082000,342,45,1,9,2,83084,3,3,1,1
150440,343,24,1,23,0,26563,1,1,1,1
0,344,28,1,11,0,55938,3,3,1,1
834890,345,35,0,19,0,35284,2,2,2,0
1072230,346,31,0,11,0,92158,3,3,1,1
0,347,36,0,6,1,57044,2,3,1,1
0,348,28,0,4,0,71326,2,2,1,0
116400,349,33,1,18,2,56317,2,2,1,1
0,350,33,1,1,2,55441,2,2,1,1
8254930,351,31,1,28,0,50609,2,2,4,0
632080,352,44,1,16,1,39564,1,1,1,1
13594350,353,31,0,9,2,33134,1,1,1,1
0,354,31,0,2,1,60555,1,1,1,1
3163760,355,34,1,14,2,135879,3,3,1,1
13191530,357,35,1,11,1,127616,4,4,2,0
5175130,358,40,0,18,2,117830,3,3,1,0
35460020,359,37,1,23,2,107473,2,4,2,0
313450,360,39,0,12,0,58347,2,2,1,1
333120,361,33,1,13,1,13743,1,1,1,1
3912140,362,38,0,12,2,51609,2,2,2,0
1670310,363,30,1,13,2,67650,2,2,1,1
456170,364,27,1,4,2,35727,1,1,1,1
0,365,24,0,14,1,44740,2,2,1,1
0,366,29,1,6,2,44630,2,2,1,0
30869270,368,45,1,15,0,51911,1,2,4,0
0,369,32,1,12,1,28186,1,1,1,1
12205880,371,48,0,12,0,49113,1,1,4,0
196560,372,33,0,18,1,82259,2,2,1,1
4526790,373,30,0,15,2,38569,1,1,1,1
3526230,375,36,1,19,1,109992,3,3,2,0
2250980,376,38,1,24,2,88715,2,2,3,0
19017290,377,35,1,24,1,121332,1,3,2,0
0,378,33,1,28,2,35057,3,3,1,0
3315120,379,31,1,4,2,29106,1,1,1,1
0,382,28,1,9,1,12938,1,1,1,0
5040480,383,41,0,8,1,43969,1,1,1,0
2271730,384,26,0,19,0,52364,2,2,1,1
1131560,385,35,0,20,2,77156,3,3,2,0
5875810,386,45,0,9,0,137082,2,4,2,1
265760,387,29,0,14,2,45245,1,1,1,1
3023960,388,34,1,6,0,43611,2,2,1,0
400000,389,30,0,6,2,45923,2,2,1,1
0,390,32,0,14,2,70428,1,1,1,1
17483970,391,37,1,14,0,133783,1,3,3,0
0,392,35,0,12,0,84850,3,3,1,1
27458220,394,34,0,12,2,97722,2,4,3,0
1231540,397,28,1,3,2,73194,2,2,1,1
0,398,30,1,24,2,63280,2,2,1,0
920230,399,31,1,24,2,40604,1,1,1,1
9748190,400,35,1,10,1,65729,2,2,2,0
921350,401,38,0,15,1,76069,2,2,1,1
26927680,402,46,1,16,2,91279,1,3,3,0
0,403,29,1,6,2,24049,2,2,1,0
3328970,404,36,1,0,1,41553,2,2,2,1
3506580,405,34,1,5,2,25028,1,1,1,1
0,406,43,1,3,2,38625,1,1,1,1
16290800,407,41,0,4,0,58207,1,2,3,0
253660,409,29,1,0,1,33320,2,2,1,0
609830,410,39,1,16,0,57225,2,2,1,1
184650,411,28,0,0,0,52572,1,1,1,1
0,412,29,1,7,2,56243,2,2,1,0
10732480,414,33,0,17,1,97153,2,3,2,1
1754320,415,36,0,4,1,61575,2,2,3,0
0,416,35,0,19,1,92559,3,3,1,1
0,417,28,0,15,0,42027,2,2,1,0
3702370,418,31,1,6,0,74051,1,2,1,1
0,419,26,1,4,2,38390,1,1,1,1
607260,420,39,1,9,2,80489,3,3,1,0
4292240,421,41,1,23,2,93113,1,2,1,1
26975690,422,27,1,19,0,78754,2,3,1,0
1628780,423,36,1,12,1,43083,1,1,1,1
2652520,424,40,1,8,1,74684,2,2,1,1
15036790,425,47,1,14,0,30921,1,3,3,0
705550,426,34,1,16,2,65053,2,2,1,1
1465000,427,33,1,1,0,88180,3,3,2,0
0,429,37,1,27,1,120771,2,4,1,1
210000,430,32,1,20,1,14489,1,1,1,1
5715360,431,39,0,9,1,50457,3,3,3,0
2097840,432,36,1,5,1,17047,1,1,1,1
1193290,433,37,1,4,2,78656,3,3,1,1
51680810,434,30,0,25,2,88515,1,3,4,0
2759970,435,29,1,14,1,63479,1,1,1,1
25128430,436,28,1,16,2,128590,1,4,1,1
6940080,438,43,0,28,2,81206,1,2,1,1
4103180,439,27,1,22,0,60246,1,1,2,1
16391700,440,40,1,7,0,113125,2,4,1,0
4732810,441,32,1,25,2,81288,3,3,3,0
0,442,32,1,15,2,73933,3,3,1,1
0,443,31,0,22,0,55108,2,2,1,1
2888690,444,32,1,6,0,36856,1,1,2,0
0,445,32,1,27,1,33956,2,2,1,1
5971490,446,31,0,14,1,50832,3,3,3,0
30318780,448,37,1,1,0,65389,2,4,3,0
184290,449,25,1,2,1,32466,1,1,1,0
22457270,450,30,1,12,2,70415,1,3,4,0
0,451,41,0,7,2,123390,1,5,1,1
3363930,452,46,1,10,1,104473,2,4,1,1
23995570,453,37,1,3,2,123361,4,4,2,0
0,454,30,0,8,2,45357,1,1,1,1
0,456,35,0,18,0,45193,2,2,1,1
700000,457,23,0,24,0,54992,2,2,2,0
400280,458,31,0,10,1,16749,3,3,1,0
442730,459,29,1,3,2,67194,3,3,1,0
3415470,460,29,0,6,1,37575,2,2,2,1
1126370,461,32,0,27,1,53577,2,2,2,1
359320,462,35,1,7,2,46139,3,3,1,0
117860,463,39,1,16,0,47419,1,1,1,1
1457350,464,34,1,19,2,86072,3,3,1,1
4847980,465,35,0,27,2,87438,2,2,2,1
0,466,23,0,15,1,64179,2,2,1,1
0,467,32,1,21,1,83926,3,3,1,1
0,469,31,1,4,2,26067,1,1,1,1
0,470,31,1,0,1,39660,2,2,1,1
0,471,38,1,3,1,59318,3,3,1,1
1613030,472,39,0,15,0,83429,3,3,2,0
0,473,25,0,7,0,62431,1,1,1,1
0,474,32,1,1,0,45068,1,1,1,1
2119680,475,43,1,2,0,42714,1,1,1,1
1220340,476,28,0,7,1,22918,2,2,1,1
1410810,477,39,1,10,0,29312,1,1,1,1
0,478,31,0,12,0,39164,2,2,1,1
0,479,24,0,12,2,22947,1,1,1,1
6644580,481,30,1,3,2,68341,1,1,1,1
11593960,482,45,1,1,0,56611,1,2,2,1
10574260,483,42,0,7,0,132558,3,3,3,0
0,484,29,0,23,1,26562,1,1,1,1
10289970,486,40,0,1,1,31674,1,2,2,1
0,487,39,1,3,0,35091,1,1,1,1
9979710,488,45,1,20,2,80716,1,2,1,1
4758570,489,32,0,3,2,49475,1,1,2,1
0,491,26,1,11,2,41638,1,1,1,1
0,492,36,0,10,1,23107,2,2,1,1
4593470,493,28,1,28,0,52307,2,2,2,0
13593340,494,36,0,7,0,110964,3,3,1,0
250000,496,24,1,6,0,20170,1,1,1,1
149040,497,30,0,7,0,65035,2,2,1,1
0,498,31,1,12,2,65571,2,2,1,0
0,499,43,1,22,2,47668,3,3,1,0
7596440,500,40,1,3,0,103119,4,4,1,1
2207980,501,32,0,7,1,96956,3,3,2,0
0,502,23,1,24,0,49888,2,2,1,1
1787540,503,45,0,13,1,42544,1,1,2,1
2193610,504,33,0,6,0,49653,2,2,1,1
115940,505,25,1,18,1,55804,2,2,1,1
7165360,507,40,1,25,0,29231,1,2,2,1
0,508,33,1,13,0,48682,2,2,1,0
152640,509,25,1,27,1,92079,3,3,1,0
0,510,28,0,21,1,68751,1,1,1,0
0,511,34,1,13,2,58130,2,2,1,0
0,512,43,0,27,0,40777,1,1,1,1
580500,513,35,0,12,2,22793,1,1,1,1
0,515,26,0,21,1,10747,2,2,1,1
5648380,516,26,0,21,1,41099,1,1,1,0
0,517,51,0,0,2,59796,1,1,1,1
1250680,518,45,0,6,2,52199,1,1,1,1
0,519,36,1,21,0,83253,3,3,1,1
12922130,520,28,0,15,0,98996,4,4,1,1
4987200,521,35,1,19,1,27882,1,1,3,0
4760130,522,36,1,18,2,109652,2,3,3,1
1027790,523,39,1,28,1,31056,3,3,1,1
950000,524,33,1,8,0,82822,3,3,2,0
3570400,525,33,1,14,0,106727,3,3,2,1
11940020,527,35,1,15,0,86823,3,4,1,1
2256420,528,34,1,1,1,51086,2,2,1,1
181250,529,32,0,28,1,12934,2,2,1,1
0,530,37,1,20,2,31137,1,1,1,1
660480,531,35,1,27,2,68045,2,2,2,0
5181790,532,37,1,18,1,61243,1,1,3,0
200000,533,36,1,0,0,35731,1,1,1,1
0,534,28,1,1,1,87872,3,3,1,0
17244320,535,39,1,19,0,77182,1,4,1,1
980720,536,28,1,18,2,35112,1,1,2,1
23376420,537,35,0,21,0,84554,2,3,4,0
4507470,538,26,0,15,0,29698,1,1,2,0
0,539,36,1,16,1,109296,2,3,1,1
0,540,29,1,5,1,96233,3,3,1,0
5083330,541,27,1,0,2,71812,1,2,1,1
2308640,542,44,1,27,0,43720,2,2,1,1
0,543,29,1,3,1,34793,3,3,1,0
13721360,544,43,1,5,2,50345,1,2,2,1
0,545,29,0,18,0,62542,2,2,1,1
195960,546,36,0,5,2,20993,1,1,1,0
1252200,547,28,1,10,1,34536,2,2,2,0
0,548,31,0,12,2,55239,3,3,1,0
212640,549,24,0,11,0,20886,1,1,1,1
5097450,550,36,1,19,0,55670,1,1,3,0
236100,551,43,1,4,2,84481,3,3,1,1
35969490,552,37,1,4,0,65170,3,3,4,0
0,553,32,1,3,0,44273,2,2,1,1
577480,554,36,1,16,2,19649,1,1,1,1
20915380,556,36,0,27,2,51658,1,2,4,0
6705230,558,39,0,2,0,55263,1,2,1,1
1722620,559,41,1,19,1,44342,1,1,3,0
41826510,560,42,1,10,2,152234,3,4,1,0
0,561,28,1,25,0,43855,1,1,1,0
0,562,29,0,25,1,52465,2,2,1,1
3447760,563,35,0,12,1,73359,1,3,1,1
202500,564,38,1,0,2,31340,1,1,1,1
8594640,565,37,1,20,0,56543,3,3,3,0
7055630,566,37,1,1,2,50504,1,1,1,1
41667690,568,33,1,7,0,60655,1,4,2,0
29530380,569,40,0,18,1,111743,2,3,3,0
7429260,570,34,0,10,2,37929,1,1,3,0
1277730,571,32,0,22,2,95826,3,3,2,0
1682570,572,30,0,11,1,31890,2,2,2,1
0,573,27,1,20,2,54026,2,2,1,1
381660,574,40,1,4,1,70144,2,2,1,1
0,575,27,1,17,2,39391,1,1,1,0
242560,576,31,0,14,1,68356,3,3,1,1
158570,577,29,0,5,2,108091,3,3,1,1
0,578,35,1,21,0,46169,2,2,1,1
1583300,579,30,0,24,2,70570,1,2,1,1
19649270,580,42,0,9,2,56877,1,2,4,0
16475160,581,42,1,17,2,52641,1,1,3,0
26819450,582,33,0,1,2,47682,2,2,4,0
1828010,583,31,1,2,1,59926,2,2,3,0
585630,584,29,0,0,1,51593,2,3,1,1
0,585,41,0,23,1,14989,1,1,1,1
6291840,587,34,0,12,1,96680,3,3,4,0
1648010,588,28,0,4,1,17660,2,2,1,1
1395620,591,36,1,26,2,100882,3,3,2,0
9218380,592,42,0,12,0,67624,1,2,2,0
4035480,593,39,1,15,1,86336,3,3,1,1
303910,594,30,1,10,1,41093,2,2,1,0
1034740,595,30,1,18,1,55828,2,2,2,0
1049120,596,29,1,3,1,66483,2,2,1,1
1613430,597,28,0,15,2,85926,3,3,2,0
3530650,598,38,0,28,0,78135,2,2,1,1
0,599,27,0,22,0,71458,2,2,1,0
1883780,600,29,1,11,0,115293,3,3,1,1
942130,601,33,0,10,0,39119,1,2,1,1
0,602,28,1,28,1,49553,2,2,1,1
1602040,603,30,1,6,1,64842,2,2,1,1
18872890,604,47,0,18,0,65856,1,2,4,0
23650380,605,37,1,1,0,95352,1,3,2,0
2959740,606,34,0,1,1,114230,3,3,2,1
1703720,607,27,0,19,0,38764,1,1,2,1
2241630,608,24,1,18,2,83294,2,2,1,1
850280,609,33,0,28,2,46186,1,1,1,1
0,610,30,0,15,2,49664,2,2,1,1
0,611,32,0,1,0,39216,2,2,1,1
200000,612,31,1,8,1,29685,1,1,1,0
2256960,613,30,1,0,1,13653,1,1,1,1
5936640,614,23,0,1,0,36474,1,1,1,1
7563910,615,34,1,15,2,54056,1,2,1,1
5923040,617,22,0,9,1,21673,1,1,4,0
1277510,618,41,1,25,2,54520,1,2,1,1
2626230,619,30,0,5,0,32150,3,3,2,0
812040,620,29,0,27,2,79801,3,3,2,0
142560,621,29,0,23,2,101494,3,3,1,1
0,622,42,1,14,1,53454,3,3,1,0
0,623,23,0,21,0,57931,1,1,1,1
20011620,624,35,1,6,0,104712,2,3,2,0
1567300,625,32,1,3,0,49936,1,1,1,1
0,626,35,1,16,1,18788,2,2,1,1
2465510,627,36,1,8,0,35219,2,2,1,1
145450,629,43,0,6,1,38624,2,2,1,1
1320320,630,35,0,20,1,51781,2,2,1,1
210670,633,36,0,22,2,48059,3,3,1,1
355360,634,29,1,20,2,54358,1,1,1,1
300000,635,31,1,20,0,130429,3,3,1,1
0,636,44,1,12,1,95388,4,4,1,1
54792310,638,38,1,7,2,149403,2,5,2,0
4336590,639,27,1,3,2,66599,2,2,2,0
1510890,640,27,0,27,0,105931,3,3,1,1
240920,642,35,1,2,1,86516,3,3,1,0
1015390,643,35,1,18,0,63632,2,2,1,0
3695100,644,29,1,25,2,34741,1,1,3,0
960000,645,28,0,27,2,110445,2,4,1,1
301150,646,34,1,2,0,71776,3,3,1,0
0,647,34,0,1,2,57888,1,1,1,1
942840,648,28,0,22,1,18928,1,1,2,0
0,649,33,1,5,0,35584,1,1,1,1
0,650,33,0,7,0,42953,2,2,1,0
3210720,651,34,0,3,0,41298,3,3,1,1
0,652,34,1,12,0,112322,4,4,1,1
106510,653,44,0,0,1,64702,2,2,1,1
0,654,22,1,23,1,36116,2,2,1,1
429430,655,35,1,4,1,40926,2,2,1,1
4689800,658,30,0,25,0,105966,3,3,2,0
0,659,32,0,4,2,54903,3,3,1,1
0,660,24,0,26,1,15327,1,1,1,1
16118660,662,37,1,21,0,76548,1,2,3,0
0,663,27,1,13,0,97203,3,3,1,1
186080,664,33,1,10,2,40041,1,1,2,0
4173650,667,31,1,27,2,78143,2,2,1,1
